genesymbol	entrezgene
Casd1	213819
Bms1	213895
Tcf12	21406
Cdc73	214498
Tmprss4	214523
Prl3d3	215029
Trmt2b	215201
Brinp3	215378
Adgb	215772
Ctnna3	216033
Zfp365	216049
Ybey	216119
Rab3ip	216363
Papolg	216578
Mrpl22	216767
Wnt9a	216795
Tek	21687
Taok1	216965
Rundc1	217201
Tex9	21778
Slc17a2	218103
3830406C13Rik	218734
Pcdh17	219228
Top3a	21975
Hsp90b1	22027
Tshr	22095
Ube2m	22192
Uba3	22200
Unc13b	22249
Vmn1r51	22296
Slc32a1	22348
Them6	223626
Eif3l	223691
Tomm22	223696
Cyp2d34	223706
Wbp5	22381
Wdr1	22388
Spidr	224008
Wisp2	22403
Gm536	224098
Poglut1	224143
Thoc1	225160
Rbm27	225432
Mapk4	225724
Gm550	225852
Xrcc5	22596
Ywhaq	22630
Ywhaz	22631
Zpr1	22687
Pms1	227099
Zfp85	22746
Zfp90	22751
Zfp93	22755
Tbpl2	227606
Zhx1	22770
Rabgap1	227800
Slc30a3	22784
A930012O16Rik	227923
Frmd5	228564
Zfp334	228876
Samd10	229011
Hnrnpa3	229279
Smg5	229512
9130204L05Rik	229550
Golph3l	229593
AI504432	229694
Acnat1	230161
Aldob	230163
Efcab14	230648
Pdik1l	230809
Tardbp	230908
Nupl2	231042
Sh3tc1	231147
Galnt9	231605
Gm4871	231885
Foxi3	232077
Tmem150a	232086
Txnrd3	232223
Zfp428	232969
Syne4	233066
Kansl2-ps	233391
Thumpd1	233802
Neil3	234258
Zfp930	234358
Nxnl1	234404
Zfp961	234413
Cnot1	234594
Ddx19b	234733
Aars	234734
Atmin	234776
Klhl36	234796
Klhdc4	234825
9230110C19Rik	234912
Fam63b	235461
Dusp7	235584
Igkv4-74	236047
Magea10	236852
Pdk3	236900
Rpl27a-ps1	237361
Zfp938	237411
Smcr8	237782
Coro1c	23790
Agr2	23795
Akt3	23797
Cfdp1	23837
Btbd7	238386
Zfp72	238722
Grem2	23893
Lrit1	239037
Katna1	23924
C1ql4	239659
Osr1	23967
Cpne5	240058
Rgs7	24012
Grk1	24013
Rnf13	24017
Gm4950	240289
Scn11a	24046
Zbtb37	240869
Best1	24115
Harbi1	241547
Tspan18	241556
Lrrc4c	241568
Gm13981	241621
Dzank1	241688
Ifna15	242517
Cyp2j12	242546
Hpdl	242642
Azin2	242669
Lrrd1	242838
Rsbn1l	242860
Lrrc61	243371
Igkv14-100	243439
E330009J07Rik	243780
Zfp324	243834
Fbxo46	243867
Rgs9bp	243923
Ubqlnl	244179
Kat6a	244349
Layn	244864
Npat	244879
Scaper	244891
Atr	245000
4930595M18Rik	245492
Zc4h2	245522
Tbc1d8b	245638
Defb9	246079
Kcne2	246133
Prokr2	246313
Olfr487	258042
Olfr1490	258098
Olfr1129	258111
Olfr792	258150
Olfr1505	258151
Olfr452	258207
Olfr801	258282
Olfr1143	258290
Olfr446	258292
Olfr746	258295
Olfr463	258408
Olfr775	258538
Olfr1006	258563
Olfr1501	258626
Olfr1441	258678
Olfr43	258706
Olfr513	258718
Olfr781	258723
Olfr556	258749
Olfr1189	258768
Olfr133	258828
Olfr1098	258842
Olfr1216	258895
Olfr1417	258938
Olfr1272	258982
Olfr449	259067
Olfr635	259122
Olfr638	259124
